label,url
Full recap hero CTA,https://henrytylerhebert-eng.github.io/innovate-south-2026-recap/?utm_source=mailchimp&utm_medium=email&utm_campaign=innovate_south_2026_recap&utm_content=hero_cta
Lead CTA,https://henrytylerhebert-eng.github.io/innovate-south-2026-recap/?utm_source=mailchimp&utm_medium=email&utm_campaign=innovate_south_2026_recap&utm_content=lead_cta
Opening note,https://henrytylerhebert-eng.github.io/innovate-south-2026-recap/?utm_source=mailchimp&utm_medium=email&utm_campaign=innovate_south_2026_recap&utm_content=opening_note#opening-note
AI-native culture,https://henrytylerhebert-eng.github.io/innovate-south-2026-recap/?utm_source=mailchimp&utm_medium=email&utm_campaign=innovate_south_2026_recap&utm_content=ai_native#ai-native-culture
Investor panel,https://henrytylerhebert-eng.github.io/innovate-south-2026-recap/?utm_source=mailchimp&utm_medium=email&utm_campaign=innovate_south_2026_recap&utm_content=investor_panel#investor-panel
Goldilocks Round,https://henrytylerhebert-eng.github.io/innovate-south-2026-recap/?utm_source=mailchimp&utm_medium=email&utm_campaign=innovate_south_2026_recap&utm_content=goldilocks_round#goldilocks-round
Network Effect,https://henrytylerhebert-eng.github.io/innovate-south-2026-recap/?utm_source=mailchimp&utm_medium=email&utm_campaign=innovate_south_2026_recap&utm_content=network_effect#network-effect
High Tech High Touch,https://henrytylerhebert-eng.github.io/innovate-south-2026-recap/?utm_source=mailchimp&utm_medium=email&utm_campaign=innovate_south_2026_recap&utm_content=high_tech_high_touch#high-tech-high-touch
Mindset in Tech,https://henrytylerhebert-eng.github.io/innovate-south-2026-recap/?utm_source=mailchimp&utm_medium=email&utm_campaign=innovate_south_2026_recap&utm_content=mindset_in_tech#mindset-in-tech
Tech Meetups,https://henrytylerhebert-eng.github.io/innovate-south-2026-recap/?utm_source=mailchimp&utm_medium=email&utm_campaign=innovate_south_2026_recap&utm_content=tech_meetups#tech-meetups
Tech Tank,https://henrytylerhebert-eng.github.io/innovate-south-2026-recap/?utm_source=mailchimp&utm_medium=email&utm_campaign=innovate_south_2026_recap&utm_content=tech_tank#tech-tank-2026
Final CTA,https://henrytylerhebert-eng.github.io/innovate-south-2026-recap/?utm_source=mailchimp&utm_medium=email&utm_campaign=innovate_south_2026_recap&utm_content=final_cta

